**1. Content (Ideas and Development)**

| Score | Descriptor |
|---|---|
| **Beginning (1)** | - **Topic is merely *named* or hinted at, with absolutely no development whatsoever.** The writing is *vanishingly* short, essentially devoid of substance, and may consist of only a title or fragment. <br> - **Ideas are absent or, if present, are completely isolated and random, showing no attempt at connection or central idea.**  There are *no* discernible details provided; writing is purely generic or non-existent. <br> - **Demonstrates *utterly no* discernible focus.** The writing is a random collection of words or phrases, or completely off-topic, if a topic can even be identified. <br> **Example:** *A title only, like "Summer," or a single, unrelated word.  Or,  "Ball. Tree. Water."* |
| **Emerging (2)** | - **Presents a *hint* of a topic, but development is *extremely minimal and superficial*.** Ideas are often presented as a *simple list* or *isolated statements* with little to no connection. <br> - **Ideas are *severely underdeveloped*, *highly repetitive*, and *completely generic*.** Supporting details are *virtually absent* or entirely lacking. <br> - **Focus is *tenuous and easily lost*.** The writing *frequently drifts* or *barely touches* the topic. <br> - ***Extremely limited* exploration of the topic; ideas are surface-level and predictable.**  <br> **Example:** *"My dog. Hot day.  I like food."* -  Related to general experiences, but just disconnected phrases, barely ideas. |
| **Proficient (3)** | - **Focuses on a central topic and presents a *few* basic ideas.**  Development is *minimal but present*, often relying on listing or simple repetition. <br> - **Ideas are *loosely connected* to the topic, but connections are basic and predictable.**  Transitions between ideas are weak or formulaic (e.g., "and then," "also"). <br> - **Provides *minimal* details and examples to support ideas, and these are often general and lack specificity.**  <br> - **Main idea is *somewhat* identifiable, but may not be consistently maintained throughout the writing.** <br> **Example:** *"My dog is nice. He plays with toys. He eats food. He sleeps a lot."* -  Simple statements about a dog, but still list-like and basic with minimal development. |
| **Experienced (4)** | - **Clearly focuses on a central topic and develops ideas with relevant details and examples.**  Ideas are expanded upon with some depth. <br> - **Demonstrates good control of the topic, with ideas logically connected and building upon each other.**  Transitions are present and help guide the reader. <br> - **Ideas are purposeful and contribute to the overall message or story.** Details enhance the reader's understanding and engagement. <br> - **Main idea is clear and consistently maintained.**  <br> **Example:** *"My dog, Buster, is incredibly playful.  When I throw a tennis ball, he leaps into the air to catch it. He's so fast he can outrun me across the park, his ears flapping in the wind.  Sometimes when he's excited, he'll bark a loud, happy bark that makes me laugh."* - More specific details and connections between ideas. |
| **Exceptional (5)** | - **Clearly and consistently focuses on a central topic and develops ideas with rich, specific, and insightful details.** Ideas are explored in depth and demonstrate a strong understanding of the topic. <br> - **Skillfully demonstrates outstanding control and sophisticated development of ideas.** Ideas are intricately connected and build upon each other in a compelling way. <br> - **Offers purposeful, creative, and original details and examples that enhance the writing.**  Foreshadowing, if used, effectively enhances the central theme. <br> - **Main idea is compelling, consistently maintained, and explored with nuance and complexity.** <br> **Example:** *"My dog, Buster, is the embodiment of playfulness.  His energy is boundless; even a simple walk turns into an acrobatic display as he bounds through the grass, chasing phantom squirrels.  When he sees a tennis ball, his eyes gleam with focused joy, and he transforms into a furry missile, leaping and twisting to make the catch.  His bark, far from being annoying, is a joyous announcement, a booming laugh that echoes his uncontainable happiness, instantly infectious and guaranteed to bring a smile to anyone nearby."* - Vivid, insightful, and complex development of the idea of "playfulness." |

**2. Structure (Organization)**

| Score | Descriptor |
